CDS_CODE,ETHNIC,GENDER,ENR_TOTAL
6615986003495,5,F,163
6615986003495,1,F,3
6615986003495,9,M,2
6615986003495,7,M,45
6615986003495,5,M,179
6615986003495,3,M,1
6615986003495,1,M,4
6615986003495,9,F,1
6615986003495,2,F,1
6615986003495,2,M,2
6615986003495,6,F,2
6615986003495,7,F,40
6615986003495,6,M,1
7617546004352,2,M,34
7617546004352,3,F,1
7617546004352,9,F,33
7617546004352,0,M,13
7617546004352,4,M,27
7617546004352,9,M,27
7617546004352,3,M,2
7617546004352,2,F,31
7617546004352,7,M,148
7617546004352,5,M,163
7617546004352,7,F,140
7617546004352,6,M,13
7617546004352,0,F,16
1612590115626,6,M,65
1612590115626,0,F,3
1612590115626,2,M,9
1612590115626,5,F,22
1612590115626,1,M,1
1612590115626,9,F,2
1612590115626,3,M,1
1612590115626,5,M,15
1612590115626,7,F,8
1612590115626,2,F,8
1612590115626,0,M,4
1612590115626,9,M,1
1612590115626,7,M,5
1612590115626,6,F,55
1612590129403,2,F,5
1612590129403,6,F,18
1612590129403,6,M,27
1612590129403,0,M,1
1612590129403,5,F,110
1612590129403,4,F,1
1612590129403,3,M,2
1612590129403,9,F,1
1612590129403,5,M,133
1612590129403,1,F,2
1612590129403,4,M,2
1612590129403,9,M,3
1612596002273,9,F,1
1612596002273,0,F,1
1612596002273,2,F,1
1612596002273,6,M,10
1612596002273,0,M,1
1612596002273,5,M,128
1612596002273,5,F,128
1612596002273,7,F,2
1612596002273,2,M,2
1612596002273,6,F,8
1612596002273,7,M,4
6616220630038,5,F,7
6616220630038,5,M,12
7616480730259,6,F,68
7616480730259,9,F,12
7616480730259,9,M,14
7616480730259,5,F,58
7616480730259,1,F,4
7616480730259,2,M,5
7616480730259,1,M,2
7616480730259,3,M,1
7616480730259,7,F,35
7616480730259,7,M,41
7616480730259,4,M,4
7616480730259,5,M,58
7616480730259,3,F,1
1613090101212,2,M,51
1613090101212,4,F,7
1613090101212,9,F,7
1613090101212,5,F,117
1613090101212,9,M,3
1613090101212,2,F,60
1613090101212,7,M,7
1613090101212,6,F,11
1613090101212,6,M,4
1613090101212,5,M,134
1613090101212,3,F,1
1613090101212,4,M,3
1613090101212,7,F,8
4614246109722,5,F,54
4614246109722,1,M,3
4614246109722,9,F,15
4614246109722,4,F,5
4614246109722,2,M,16
4614246109722,6,F,2
4614246109722,3,M,1
4614246109722,2,F,14
4614246109722,6,M,8
4614246109722,0,M,6
4614246109722,9,M,17
4614246109722,0,F,8
4614246109722,7,M,116
1612590120188,0,M,2
1612590120188,4,F,1
1612590120188,5,F,113
1612590120188,0,F,3
1612590120188,6,F,4
1612590120188,6,M,8
1612590120188,4,M,1
1612590120188,5,M,102
1612590120188,9,F,3
1612590125161,0,F,2
1612590125161,4,F,1
1612590125161,5,M,312
1612590125161,3,F,5
1612590125161,3,M,10
1612590125161,6,M,125
1612590125161,7,M,4
1612590125161,2,M,8
1612590125161,7,F,5
1612590125161,0,M,8
1612590125161,9,M,1
1612590125161,1,M,1
1612590125161,9,F,1
